%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     741.680179        0.056191        0.000395 
     741.955692        0.094761        0.000349 
     742.231204        0.057903        0.000317 
     742.506717        0.065438        0.000310 
     742.782230        0.107757        0.000413 
     743.057742        0.105966        0.000480 
     743.333255        0.112287        0.000443 
     743.608768        0.082237        0.000406 
     743.884280        0.054401        0.000288 
     744.159793        0.089608        0.000378 
     744.435306        0.105213        0.000444 
     744.710819        0.095283        0.000287 
     744.986331        0.092350        0.000376 
     745.261844        0.064408        0.000586 
     745.537357        0.073953        0.000449 
     745.812869        0.116194        0.000461 
     746.088382        0.111532        0.000475 
     746.363895        0.113638        0.000419 
     746.639407        0.086219        0.000400 
     746.914920        0.060699        0.000328 
     747.190433        0.104985        0.000445 
     747.465946        0.116117        0.000524 
     747.741458        0.112962        0.000527 
     748.016971        0.103196        0.000379 
     748.292484        0.064359        0.000497 
     748.567996        0.083130        0.000402 
     748.843509        0.115001        0.000476 
     749.119022        0.114834        0.000462 
     749.394534        0.115595        0.000505 
     749.670047        0.084314        0.000447 
     749.945560        0.073175        0.000408 
     750.221073        0.109786        0.000499 
     750.496585        0.116673        0.000570 
     750.772098        0.117737        0.000510 
     751.047611        0.104420        0.000501 
     751.323123        0.071637        0.000350 
     751.598636        0.098591        0.000424 
     751.874149        0.118014        0.000601 
     752.149661        0.106984        0.000408 
     752.425174        0.108500        0.000447 
     752.700687        0.085655        0.000371 
     752.976200        0.085175        0.000331 
     753.251712        0.114182        0.000351 
     753.527225        0.116448        0.000327 
     753.802738        0.106177        0.000349 
     754.078250        0.094666        0.000351 
     754.353763        0.080010        0.000351 
     754.629276        0.088213        0.000367 
     754.904788        0.108607        0.000435 
     755.180301        0.118825        0.000392 
     755.455814        0.117007        0.000488 
     755.731327        0.089237        0.000585 
     756.006839        0.090446        0.000341 
     756.282352        0.117338        0.000424 
     756.557865        0.117564        0.000490 
     756.833377        0.120139        0.000400 
     757.108890        0.102896        0.000455 
     757.384403        0.088179        0.000366 
     757.659915        0.113577        0.000447 
     757.935428        0.120236        0.000562 
     758.210941        0.121610        0.000536 
     758.486454        0.119283        0.000632 
     758.761966        0.097224        0.000475 
     759.037479        0.105875        0.000386 
     759.312992        0.122092        0.000540 
     759.588504        0.119770        0.000492 
     759.864017        0.123759        0.000488 
     760.139530        0.108931        0.000545 
     760.415042        0.097574        0.000352 
     760.690555        0.119110        0.000482 
     760.966068        0.120782        0.000516 
     761.241581        0.121726        0.000450 
     761.517093        0.119870        0.000452 
     761.792606        0.100015        0.000346 
     762.068119        0.113626        0.000331 
     762.343631        0.123468        0.000515 
     762.619144        0.119655        0.000646 
     762.894657        0.124467        0.000451 
     763.170169        0.109146        0.000411 
     763.445682        0.107931        0.000508 
     763.721195        0.123280        0.000562 
     763.996708        0.120526        0.000460 
     764.272220        0.123242        0.000368 
     764.547733        0.117691        0.000423 
     764.823246        0.107803        0.000335 
     765.098758        0.118831        0.000367 
     765.374271        0.121964        0.000543 
     765.649784        0.121610        0.000451 
     765.925296        0.121578        0.000516 
     766.200809        0.112568        0.000429 
     766.476322        0.115940        0.000514 
     766.751835        0.121553        0.000464 
     767.027347        0.120804        0.000307 
     767.302860        0.117302        0.000572 
     767.578373        0.115959        0.000474 
