24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.6058    2.0005-11.9742    6.2996     6.2606     0.6229     0.0070     0.0004
 0.6751    2.0005- 8.1986    7.0136     7.0055     0.1162     0.0050     0.0004
 0.7791    2.0005-11.9742    6.3002     6.2604     0.6356     0.0059     0.0005
 0.8645    2.0005- 8.6056    7.5957     7.6417    -0.6020     0.0035     0.0007
 1.0191    2.0005- 9.5264    7.9079     7.8985     0.1195     0.0039     0.0004
 1.2413    2.0005-11.6174    8.3376     8.4481    -1.3075     0.0055     0.0007
 1.5585    2.0005-11.9742    8.6487     8.7061    -0.6597     0.0029     0.0008
 2.1391    2.0005-11.9742    6.3850     6.4441    -0.9173     0.0059     0.0006

31Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2002-11.9713   10.9888    10.9392     0.4534     0.0148     0.0015
 0.3800    1.2002-10.3147    9.5663     9.5113     0.5786     0.0145     0.0017
 0.4512    1.2002- 5.9540    4.7533     4.8356    -1.7029     0.0074     0.0010
 0.4994    1.2002-11.9347    9.1455     8.9393     2.3067     0.0091     0.0010
 0.5204    1.2002-11.9713   10.5190    10.4401     0.7555     0.0105     0.0009
 0.6058    1.2002-11.9713    6.2832     6.2606     0.3614     0.0067     0.0007
 0.6751    1.2002- 6.0204    6.9910     7.0055    -0.2063     0.0044     0.0006
 0.7791    1.2002- 7.4997    6.2806     6.2604     0.3219     0.0053     0.0005
 0.8645    1.2002- 4.5658    7.5527     7.6417    -1.1649     0.0017     0.0004
 1.0191    1.2002- 7.5444    7.8907     7.8985    -0.0985     0.0035     0.0005
 1.2413    1.2002- 6.0204    8.2978     8.4481    -1.7789     0.0045     0.0007
 1.5585    1.2002- 8.4495    8.6133     8.7061    -1.0663     0.0022     0.0012
 2.1391    1.2002- 8.3023    6.3588     6.4441    -1.3232     0.0052     0.0013


31Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5002-11.9713   10.9948    10.9392     0.5078     0.0149     0.0016
 0.3800    1.5002-11.9347    9.5778     9.5113     0.6989     0.0148     0.0018
 0.4512    1.5002-10.3424    4.7707     4.8356    -1.3429     0.0088     0.0017
 0.4994    1.5002-11.9713    9.1514     8.9393     2.3724     0.0093     0.0009
 0.5204    1.5002-11.9713   10.5233    10.4401     0.7969     0.0106     0.0009
 0.6058    1.5002-11.9713    6.2854     6.2606     0.3967     0.0068     0.0007
